Timestamp,Target Segment,Target Modifier,Target X Offset,Target Y Offset,Result Segment,Result Modifier,Result X Offset,Result Y Offset,Name,Mode,Session
2026-04-16 13:24:09,1,S,45,104,1,S,45,104,Patrick,RTW,1
2026-04-16 13:24:09,1,S,45,104,1,S,45,104,Patrick,RTW,1
2026-04-16 13:24:09,1,S,45,104,1,S,45,104,Patrick,RTW,1
2026-04-16 13:24:10,1,S,45,104,1,S,45,104,Patrick,RTW,1
2026-04-16 13:24:10,1,S,45,104,1,S,45,104,Patrick,RTW,1
2026-04-16 13:24:10,1,S,45,104,1,S,45,104,Patrick,RTW,1
2026-04-16 13:24:10,1,S,45,104,1,S,45,104,Patrick,RTW,1
2026-04-16 13:24:10,1,S,45,104,1,S,45,104,Patrick,RTW,1
2026-04-16 13:24:11,1,S,45,104,1,S,45,104,Patrick,RTW,1
2026-04-16 13:24:11,1,S,45,104,1,S,45,104,Patrick,RTW,1
2026-04-16 13:24:11,1,S,45,104,1,S,45,104,Patrick,RTW,1
2026-04-16 13:24:11,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:12,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:12,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:12,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:12,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:12,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:13,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:13,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:13,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:13,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:14,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:14,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:14,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:14,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:14,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:15,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:15,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:15,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:15,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:15,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:16,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:16,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:16,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:16,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:17,1,S,58,170,1,S,58,170,Patrick,RTW,1
2026-04-16 13:24:17,1,S,58,170,1,S,58,170,Patrick,RTW,1
